seller_id,product_id,title,price,discounts,url,img_url,review
39089189,35770986,Ði?n Tho?i Xiao?i Redmi 8A (2GB/32GB),2190000,-37%,/di?n-tho?i-xiao?i-redmi-8a-2gb-32gb-h?ng-ch?nh-h?ng-p35770986.html?spid=39089189&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/58/2a/e8/7e3f40983e6b0dfa60aefae3867c4050.jpg,(126 nh?n xét)
45339111,45339109,Ði?n Tho?i Samsung Galaxy A51 (128GB/6GB),7590000,-5%,/di?n-tho?i-samsung-galaxy-a51-128gb-6gb-h?ng-ch?nh-h?ng-p45339109.html?spid=45339111&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/da/fd/c806910bc5a12d1c43a2e0932ff10732.jpg,(111 nh?n xét)
54749371,46753117,Ði?n Tho?i Vsmart Active 3,2850000,-37%,/di?n-tho?i-vsmart-active-3-h?ng-ch?nh-h?ng-p46753117.html?spid=54749371&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/21/b2/3a/3cf0cf3433d7122448bb1f90bf9b7bb0.png,(397 nh?n xét)
54349525,48524359,Ði?n Tho?i Vsmart Joy 3,1980000,-14%,/di?n-tho?i-vsmart-joy-3-h?ng-ch?nh-h?ng-p48524359.html?spid=54349525&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5a/7b/e1/5acd19c60380413b3e72ac3460da0f62.jpg,(357 nh?n xét)
53793247,53516830,Ði?n Tho?i Samsung Galaxy A11 (32GB/3GB),3220000,-13%,/di?n-tho?i-samsung-galaxy-a11-32gb-3gb-h?ng-ch?nh-h?ng-p53516830.html?spid=53793247&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/98/b8/89/c078436f8c04567119078c0e7adfc255.jpg,(46 nh?n xét)
32033719,32033717,Ði?n Tho?i iPh?ne 11 64GB,18990000,-17%,/di?n-tho?i-iph?ne-11-64gb-h?ng-ch?nh-h?ng-p32033717.html?spid=32033719&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/84/3d/55/7bb112f36cd07f712d461e386e74e3d5.jpg,(147 nh?n xét)
45695397,45695395,Ði?n Tho?i Samsung Galaxy A51 (128GB/6GB),5999000,-25%,/di?n-tho?i-samsung-galaxy-a51-128gb-6gb-h?ng-ch?nh-h?ng-da-kich-hoat-bao-h?nh-di?n-tu-p45695395.html?spid=45695397&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/98/a8/a6a1dc2eec8189746bf75c824a6d64e9.jpg,(164 nh?n xét)
32033732,32033730,Ði?n Tho?i iPh?ne 11 128GB,20490000,-15%,/di?n-tho?i-iph?ne-11-128gb-h?ng-ch?nh-h?ng-p32033730.html?spid=32033732&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/62/39/499c08d6ec13cd33b33ee601d9e4251e.jpg,(79 nh?n xét)
16256387,16256385,Ði?n Tho?i Vivo Y15 (4GB / 64GB),2790000,-44%,/di?n-tho?i-vivo-y15-4gb-64gb-h?ng-ch?nh-h?ng-p16256385.html?spid=16256387&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d7/7c/13/f9e94af4553b064963a0dbdbe7c6b39b.jpg,(69 nh?n xét)
58444051,35843180,Ði?n Tho?i Samsung Galaxy A20s,4390000,,/di?n-tho?i-samsung-galaxy-a20s-h?ng-ch?nh-h?ng-p35843180.html?spid=58444051&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/67/92/7a/eb626e7ada147c1946427f3fef1d2f69.jpg,(139 nh?n xét)
54353918,51553387,Ði?n THo?i XIAo?i REDMi?nOTE 9S,5090000,-7%,/di?n-tho?i-xiao?i-redmi?note-9s-h?ng-ch?nh-h?ng-p51553387.html?spid=54353918&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a4/79/ce/daae9ce882ca20f2a71910afe46a851b.png,(48 nh?n xét)
32028826,32028822,Ði?n Tho?i iPh?ne 11 Pro Max 64GB,28490000,-16%,/di?n-tho?i-iph?ne-11-pro-max-64gb-h?ng-ch?nh-h?ng-p32028822.html?spid=32028826&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/6b/da/72/8a286001708741cbcdedc0cbfe8f0cae.jpg,(127 nh?n xét)
48654410,48654406,Ði?n Tho?i Vsmart Star 3 (2GB/16GB),1590000,-11%,/di?n-tho?i-vsmart-star-3-2gb-16gb-h?ng-ch?nh-h?ng-p48654406.html?spid=48654410&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0f/49/ce/81c19a38474b755156c8431d978f5418.jpg,(113 nh?n xét)
31276834,31276832,Ði?n Tho?i OPPO A9 2020 (128G/8GB),4690000,-41%,/di?n-tho?i-oppo-a9-2020-128g-8gb-h?ng-ch?nh-h?ng-p31276832.html?spid=31276834&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5c/63/67/aad7c2586211ce63030180629e89f743.jpg,(40 nh?n xét)
53970687,39751299,Ði?n tho?i Xiao?i Redmi 8 64GB Ram 4GB,2990000,-17%,/di?n-tho?i-xiao?i-redmi-8-64gb-ram-4gb-h?ng-ch?nh-h?ng-p39751299.html?spid=53970687&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/14/71/dc/4eaa1c5b79e21195b85614288eff4ab5.png,(44 nh?n xét)
50066269,50300535,Ði?n Tho?i Samsung Galaxy S20 Plus,15490000,-35%,/di?n-tho?i-samsung-galaxy-s20-plus-h?ng-ch?nh-h?ng-da-kich-hoat-bao-h?nh-di?n-tu-p50300535.html?spid=50066269&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ab/18/e1/de59a5bd4d512de45979147c063eda7b.jpg,(62 nh?n xét)
52717590,52717588,Ði?n Tho?i Samsung Galaxy M11 (32GB/3GB),3190000,-14%,/di?n-tho?i-samsung-galaxy-m11-32gb-3gb-h?ng-ch?nh-h?ng-p52717588.html?spid=52717590&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ac/5e/b1/b95a214b23b83e1446b309823f81d459.jpg,(82 nh?n xét)
52611794,50024767,Ði?n Tho?i Vsmart Bee 3,1240000,-11%,/di?n-tho?i-vsmart-bee-3-h?ng-ch?nh-h?ng-p50024767.html?spid=52611794&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/89/d4/d8/59f294826dd2f0233374f24403467e67.jpg,(32 nh?n xét)
52342727,52342723,Ði?n Tho?i  Realme C3i (2GB/32G),2190000,-15%,/di?n-tho?i-realme-c3i-2gb-32g-h?ng-ch?nh-h?ng-p52342723.html?spid=52342727&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/eb/f9/40/3238e7605b209e3d075f71fd3614bfd9.jpg,(47 nh?n xét)
49917543,49917539,Ði?n Tho?i Realme C3,2690000,-10%,/di?n-tho?i-realme-c3-h?ng-ch?nh-h?ng-p49917539.html?spid=49917543&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/32/79/a9/d7d3e3f4e009f1ee63400a52cac553ff.jpg,(34 nh?n xét)
20913601,20913598,Ði?n Tho?i?no?ia 2.2 (16GB/2GB),1520000,-49%,/di?n-tho?i?no?ia-2-2-16gb-2gb-h?ng-ch?nh-h?ng-p20913598.html?spid=20913601&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/1e/9c/2a/58a9527e97bbacb7db00b938010b70c7.jpg,(166 nh?n xét)
53090591,53090589,Ði?n Tho?i iPh?ne  SE 64GB ( 2020),11290000,-13%,/di?n-tho?i-iph?ne-se-64gb-2020-nhap-khau-h?ng-ch?nh-h?ng-p53090589.html?spid=53090591&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/16/15/72/7363f6268c34387efc2d4079c537e64e.jpg,(14 nh?n xét)
48307569,48307567,Ði?n Tho?i Samsung Galaxy A01 (16GB/2GB),2790000,,/di?n-tho?i-samsung-galaxy-a01-16gb-2gb-h?ng-ch?nh-h?ng-p48307567.html?spid=48307569&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/4d/94/81/431e8b4d197f263a609445dea6e86932.jpg,(69 nh?n xét)
55311236,55138557,Ði?n tho?i Xiao?i Redmi?note 9 Pro,5690000,-12%,/di?n-tho?i-xiao?i-redmi?note-9-pro-h?ng-ch?nh-h?ng-p55138557.html?spid=55311236&src=category-page-1789.1795&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5b/26/71/578c605b9f68f63eceaa1acee2e8481e.png,(13 nh?n xét)
